,Name,Sex upon Outcome,Adopt,Age_days,Sex,cfa_breed,coat_pattern,pattern,Cat_Kitten_Neonatal
0,1,Neutered Male,1,736,Male,0,tabby,1,Adult
1,0,Intact Male,0,6,Male,0,tabby,1,Neonatal
2,1,Neutered Male,1,78,Male,0,no pattern,0,Kitten
3,1,Neutered Male,1,63,Male,0,tabby,1,Kitten
4,0,Intact Female,0,731,Female,0,no pattern,0,Adult
5,1,Neutered Male,1,2559,Male,0,no pattern,0,Adult
6,0,Intact Male,0,2,Male,0,tabby,1,Neonatal
7,1,Intact Male,0,23,Male,0,tabby,1,Neonatal
8,1,Spayed Female,0,284,Female,0,no pattern,0,Kitten
9,0,Intact Male,0,31,Male,0,tabby,1,Neonatal
10,0,Intact Female,0,15,Female,0,tabby,1,Neonatal
11,1,Spayed Female,1,115,Female,0,calico,1,Kitten
12,0,Intact Female,0,189,Female,0,tabby,1,Kitten
13,0,Neutered Male,1,102,Male,0,tabby,1,Kitten
14,0,Intact Male,0,92,Male,0,no pattern,0,Kitten
15,1,Spayed Female,1,944,Female,0,tortie,1,Adult
16,1,Neutered Male,1,82,Male,0,tabby,1,Kitten
17,0,Intact Male,0,47,Male,0,no pattern,0,Kitten
18,1,Neutered Male,1,82,Male,0,no pattern,0,Kitten
19,0,Intact Male,0,10,Male,0,no pattern,0,Neonatal
20,0,Neutered Male,1,86,Male,0,tabby,1,Kitten
21,1,Neutered Male,1,2151,Male,0,no pattern,0,Adult
22,0,Neutered Male,0,381,Male,0,tabby,1,Adult
23,1,Neutered Male,1,150,Male,0,tabby,1,Kitten
24,1,Neutered Male,1,3699,Male,0,no pattern,0,Adult
25,1,Spayed Female,1,68,Female,0,tortie,1,Kitten
26,1,Neutered Male,1,101,Male,0,tabby,1,Kitten
27,1,Neutered Male,0,3665,Male,0,tabby,1,Adult
28,0,Neutered Male,1,78,Male,0,tabby,1,Kitten
29,1,Neutered Male,1,842,Male,0,tabby,1,Adult
30,0,Intact Male,0,154,Male,0,tabby,1,Kitten
31,1,Neutered Male,1,92,Male,0,tabby,1,Kitten
32,1,Spayed Female,1,404,Female,0,tabby,1,Adult
33,1,Spayed Female,1,97,Female,0,tabby,1,Kitten
34,0,Intact Male,0,30,Male,0,no pattern,0,Neonatal
35,0,Intact Female,0,368,Female,1,tortie,1,Adult
36,1,Intact Male,0,24,Male,0,tabby,1,Neonatal
37,0,Intact Female,0,730,Female,0,no pattern,0,Adult
38,0,Intact Male,0,365,Male,0,point,1,Adult
39,1,Neutered Male,1,93,Male,1,point,1,Kitten
40,1,Intact Female,0,134,Female,0,torbie,1,Kitten
41,1,Neutered Male,1,192,Male,0,tabby,1,Kitten
42,0,Intact Female,0,368,Female,0,tabby,1,Adult
43,1,Spayed Female,1,399,Female,0,tabby,1,Adult
44,1,Spayed Female,1,3255,Female,0,tabby,1,Adult
45,1,Spayed Female,1,5479,Female,0,torbie,1,Adult
46,0,Neutered Male,1,84,Male,0,tabby,1,Kitten
47,0,Spayed Female,1,69,Female,0,tabby,1,Kitten
48,1,Spayed Female,1,409,Female,0,torbie,1,Adult
49,1,Intact Male,0,55,Male,0,no pattern,0,Kitten
50,1,Neutered Male,1,98,Male,0,tabby,1,Kitten
51,1,Neutered Male,1,153,Male,0,tabby,1,Kitten
52,0,Spayed Female,1,99,Female,0,no pattern,0,Kitten
53,0,Intact Male,0,8,Male,0,tabby,1,Neonatal
54,0,Intact Female,0,15,Female,0,tortie,1,Neonatal
55,1,Intact Female,0,45,Female,0,torbie,1,Kitten
56,1,Spayed Female,1,1837,Female,0,no pattern,0,Adult
57,1,Spayed Female,1,1471,Female,0,tortie,1,Adult
58,0,Neutered Male,1,76,Male,0,tabby,1,Kitten
59,1,Intact Male,1,80,Male,0,tabby,1,Kitten
60,1,Neutered Male,1,737,Male,0,tabby,1,Adult
61,1,Neutered Male,1,87,Male,0,tabby,1,Kitten
62,1,Intact Female,1,93,Female,0,tabby,1,Kitten
63,1,Neutered Male,1,5845,Male,1,tabby,1,Adult
64,1,Spayed Female,1,64,Female,0,tabby,1,Kitten
65,1,Spayed Female,1,67,Female,0,no pattern,0,Kitten
66,0,Intact Female,0,732,Female,0,tabby,1,Adult
67,0,Intact Male,0,95,Male,0,no pattern,0,Kitten
68,1,Spayed Female,1,2978,Female,0,torbie,1,Adult
69,1,Neutered Male,1,93,Male,0,tabby,1,Kitten
70,1,Spayed Female,1,376,Female,0,calico,1,Adult
71,0,Spayed Female,0,413,Female,0,tabby,1,Adult
72,1,Spayed Female,0,119,Female,0,tabby,1,Kitten
73,0,Intact Female,0,24,Female,0,tabby,1,Neonatal
74,1,Spayed Female,1,4165,Female,0,no pattern,0,Adult
75,1,Spayed Female,1,84,Female,0,tabby,1,Kitten
76,0,Intact Female,0,735,Female,0,tortie,1,Adult
77,1,Neutered Male,1,78,Male,0,no pattern,0,Kitten
78,0,Intact Female,0,61,Female,0,tabby,1,Kitten
79,1,Neutered Male,1,62,Male,0,tabby,1,Kitten
80,1,Spayed Female,1,876,Female,0,no pattern,0,Adult
81,1,Spayed Female,1,92,Female,0,tabby,1,Kitten
82,0,Neutered Male,1,81,Male,0,tabby,1,Kitten
83,1,Neutered Male,1,66,Male,0,no pattern,0,Kitten
84,1,Neutered Male,0,783,Male,0,no pattern,0,Adult
85,0,Intact Male,0,138,Male,0,tabby,1,Kitten
86,1,Spayed Female,1,1214,Female,0,no pattern,0,Adult
87,0,Intact Male,0,68,Male,0,tabby,1,Kitten
88,0,Spayed Female,1,81,Female,0,no pattern,0,Kitten
89,1,Intact Female,1,68,Female,1,tortie,1,Kitten
90,0,Neutered Male,1,73,Male,0,no pattern,0,Kitten
91,1,Spayed Female,1,106,Female,0,no pattern,0,Kitten
92,0,Intact Male,0,126,Male,0,no pattern,0,Kitten
93,1,Spayed Female,1,78,Female,0,tabby,1,Kitten
94,1,Neutered Male,1,133,Male,0,tabby,1,Kitten
95,1,Spayed Female,1,388,Female,0,no pattern,0,Adult
96,1,Spayed Female,1,5490,Female,0,no pattern,0,Adult
97,0,Spayed Female,0,367,Female,0,tabby,1,Adult
98,1,Intact Female,0,71,Female,0,tabby,1,Kitten
99,1,Neutered Male,1,69,Male,0,tabby,1,Kitten
100,1,Neutered Male,1,100,Male,0,tabby,1,Kitten
101,0,Intact Male,0,734,Male,0,tabby,1,Adult
102,1,Intact Female,1,109,Female,0,no pattern,0,Kitten
103,1,Spayed Female,1,92,Female,1,point,1,Kitten
104,1,Neutered Male,0,378,Male,0,tabby,1,Adult
105,1,Neutered Male,1,158,Male,0,no pattern,0,Kitten
106,0,Spayed Female,1,91,Female,1,point,1,Kitten
107,1,Spayed Female,1,332,Female,0,tortie,1,Kitten
108,0,Spayed Female,1,65,Female,0,calico,1,Kitten
109,1,Spayed Female,1,78,Female,0,tabby,1,Kitten
110,1,Spayed Female,1,772,Female,1,point,1,Adult
111,0,Intact Male,1,83,Male,0,smoke,1,Kitten
112,0,Intact Female,0,731,Female,0,tabby,1,Adult
113,0,Intact Male,0,22,Male,0,tabby,1,Neonatal
114,0,Intact Female,0,369,Female,0,point,1,Adult
115,1,Spayed Female,0,222,Female,0,tabby,1,Kitten
116,1,Spayed Female,1,111,Female,0,tabby,1,Kitten
117,1,Neutered Male,1,192,Male,0,tabby,1,Kitten
118,0,Intact Male,0,14,Male,0,tabby,1,Neonatal
119,0,Intact Male,0,22,Male,0,tabby,1,Neonatal
120,0,Spayed Female,0,80,Female,0,tabby,1,Kitten
121,1,Neutered Male,0,5046,Male,0,tabby,1,Adult
122,1,Neutered Male,1,99,Male,0,tabby,1,Kitten
123,1,Spayed Female,1,79,Female,0,calico,1,Kitten
124,1,Spayed Female,0,2686,Female,0,tabby,1,Adult
125,0,Spayed Female,1,98,Female,0,torbie,1,Kitten
126,0,Intact Male,0,17,Male,0,tabby,1,Neonatal
127,0,Neutered Male,1,84,Male,0,tabby,1,Kitten
128,0,Intact Male,0,4384,Male,0,no pattern,0,Adult
129,0,Intact Female,0,153,Female,0,tabby,1,Kitten
130,0,Spayed Female,0,368,Female,0,tabby,1,Adult
131,0,Intact Male,0,60,Male,0,no pattern,0,Kitten
132,1,Spayed Female,1,439,Female,0,torbie,1,Adult
133,0,Intact Male,0,93,Male,0,tabby,1,Kitten
134,1,Spayed Female,1,610,Female,0,no pattern,0,Adult
135,1,Spayed Female,1,72,Female,0,no pattern,0,Kitten
136,1,Spayed Female,1,60,Female,0,calico,1,Kitten
137,0,Intact Female,0,9,Female,0,no pattern,0,Neonatal
138,1,Neutered Male,1,56,Male,0,tabby,1,Kitten
139,1,Neutered Male,1,421,Male,0,tabby,1,Adult
140,0,Spayed Female,0,70,Female,0,tabby,1,Kitten
141,1,Intact Male,1,71,Male,0,tabby,1,Kitten
142,1,Spayed Female,1,130,Female,0,tabby,1,Kitten
143,1,Intact Male,0,101,Male,0,no pattern,0,Kitten
144,1,Spayed Female,1,100,Female,0,tabby,1,Kitten
145,1,Intact Male,0,47,Male,0,no pattern,0,Kitten
146,0,Intact Female,0,7,Female,0,calico,1,Neonatal
147,0,Neutered Male,0,2194,Male,0,no pattern,0,Adult
148,1,Spayed Female,1,201,Female,0,no pattern,0,Kitten
149,1,Spayed Female,1,77,Female,0,no pattern,0,Kitten
150,0,Intact Female,0,19,Female,0,tabby,1,Neonatal
151,1,Neutered Male,1,224,Male,0,no pattern,0,Kitten
152,1,Neutered Male,0,208,Male,0,tabby,1,Kitten
153,1,Neutered Male,1,57,Male,0,tabby,1,Kitten
154,0,Spayed Female,1,97,Female,0,torbie,1,Kitten
155,1,Spayed Female,1,429,Female,0,point,1,Adult
156,1,Spayed Female,1,73,Female,0,tabby,1,Kitten
157,1,Spayed Female,0,4803,Female,0,tabby,1,Adult
158,1,Spayed Female,1,130,Female,0,calico,1,Kitten
159,1,Intact Female,0,55,Female,0,tortie,1,Kitten
160,0,Spayed Female,1,103,Female,0,tabby,1,Kitten
161,1,Intact Male,0,50,Male,0,tabby,1,Kitten
162,0,Spayed Female,1,66,Female,0,tabby,1,Kitten
163,1,Neutered Male,0,106,Male,1,no pattern,0,Kitten
164,0,Intact Female,0,52,Female,0,torbie,1,Kitten
165,1,Intact Female,0,29,Female,0,tabby,1,Neonatal
166,1,Neutered Male,0,1119,Male,0,tabby,1,Adult
167,1,Neutered Male,1,70,Male,0,no pattern,0,Kitten
168,1,Spayed Female,0,1628,Female,0,calico,1,Adult
169,1,Intact Female,0,330,Female,0,no pattern,0,Kitten
170,1,Intact Female,1,52,Female,0,tabby,1,Kitten
171,0,Spayed Female,0,733,Female,0,tabby,1,Adult
172,0,Neutered Male,0,2922,Male,0,tabby,1,Adult
173,1,Intact Female,1,74,Female,0,no pattern,0,Kitten
174,0,Spayed Female,1,61,Female,0,calico,1,Kitten
175,0,Neutered Male,1,80,Male,0,no pattern,0,Kitten
176,1,Spayed Female,1,1358,Female,0,tabby,1,Adult
177,1,Neutered Male,1,1468,Male,0,tabby,1,Adult
178,1,Spayed Female,0,738,Female,0,tabby,1,Adult
179,0,Neutered Male,1,78,Male,0,no pattern,0,Kitten
180,0,Intact Male,0,124,Male,0,tabby,1,Kitten
181,0,Neutered Male,0,376,Male,0,tabby,1,Adult
182,1,Spayed Female,1,58,Female,0,no pattern,0,Kitten
183,1,Spayed Female,0,228,Female,0,tortie,1,Kitten
184,1,Neutered Male,1,735,Male,1,no pattern,0,Adult
185,1,Neutered Male,0,4024,Male,0,no pattern,0,Adult
186,1,Spayed Female,1,2662,Female,0,tabby,1,Adult
187,0,Neutered Male,0,73,Male,0,no pattern,0,Kitten
188,0,Intact Female,0,14,Female,0,tabby,1,Neonatal
189,1,Neutered Male,1,2045,Male,1,point,1,Adult
190,1,Intact Female,0,735,Female,0,torbie,1,Adult
191,1,Neutered Male,1,730,Male,0,no pattern,0,Adult
192,0,Neutered Male,1,63,Male,0,no pattern,0,Kitten
193,1,Neutered Male,1,86,Male,0,tabby,1,Kitten
194,0,Intact Male,0,25,Male,0,tabby,1,Neonatal
195,0,Intact Female,0,22,Female,0,no pattern,0,Neonatal
196,1,Intact Female,0,31,Female,0,tabby,1,Neonatal
197,0,Intact Female,0,733,Female,0,tortie,1,Adult
198,1,Spayed Female,1,59,Female,0,no pattern,0,Kitten
199,1,Neutered Male,1,1166,Male,0,tabby,1,Adult
200,0,Neutered Male,0,1095,Male,0,no pattern,0,Adult
201,0,Neutered Male,1,126,Male,0,tabby,1,Kitten
202,0,Spayed Female,0,376,Female,0,point,1,Adult
203,1,Spayed Female,1,111,Female,0,torbie,1,Kitten
204,1,Spayed Female,0,743,Female,0,no pattern,0,Adult
205,1,Spayed Female,0,3689,Female,0,tabby,1,Adult
206,0,Intact Male,0,63,Male,0,tabby,1,Kitten
207,1,Spayed Female,1,477,Female,0,tabby,1,Adult
208,0,Intact Male,0,369,Male,0,tabby,1,Adult
209,0,Intact Male,0,95,Male,0,tabby,1,Kitten
210,1,Spayed Female,1,1843,Female,0,tabby,1,Adult
211,0,Spayed Female,1,94,Female,0,tabby,1,Kitten
212,1,Neutered Male,1,736,Male,0,tabby,1,Adult
213,1,Neutered Male,1,1102,Male,0,tabby,1,Adult
214,0,Intact Female,0,100,Female,0,tabby,1,Kitten
215,0,Intact Female,0,366,Female,0,no pattern,0,Adult
216,1,Spayed Female,1,554,Female,0,no pattern,0,Adult
217,1,Neutered Male,1,54,Male,0,no pattern,0,Kitten
218,1,Neutered Male,0,735,Male,0,tabby,1,Adult
219,1,Intact Male,0,238,Male,0,tabby,1,Kitten
220,1,Neutered Male,1,69,Male,0,no pattern,0,Kitten
221,1,Neutered Male,1,1276,Male,0,tabby,1,Adult
222,1,Neutered Male,1,3053,Male,0,no pattern,0,Adult
223,1,Spayed Female,1,221,Female,0,no pattern,0,Kitten
224,0,Intact Male,0,734,Male,0,tabby,1,Adult
225,1,Neutered Male,0,2567,Male,0,no pattern,0,Adult
226,1,Spayed Female,1,67,Female,0,calico,1,Kitten
227,0,Spayed Female,0,368,Female,0,tortie,1,Adult
